State,Date,Count
NH,Nov 2019,7
NH,Dec 2019,7
NH,Jan 2020,9
NH,Feb 2020,11
NH,Mar 2020,14
NH,Apr 2020,16
NH,May 2020,17
NH,Jun 2020,16
NH,Jul 2020,18
NH,Aug 2020,17
NH,Sep 2020,15
NH,Oct 2020,11
NH,Nov 2020,8
NH,Dec 2020,9
NH,Jan 2021,11
NH,Feb 2021,12
NH,Mar 2021,17
NH,Apr 2021,19
NH,May 2021,21
NH,Jun 2021,21
NH,Jul 2021,22
NH,Aug 2021,21
NH,Sep 2021,18
NH,Oct 2021,14
NH,Nov 2021,11
NH,Dec 2021,11
NH,Jan 2022,14
NH,Feb 2022,15
NH,Mar 2022,21
NH,Apr 2022,24
NH,May 2022,25
NH,Jun 2022,25
NH,Jul 2022,27
NH,Aug 2022,26
NH,Sep 2022,23
NH,Oct 2022,18
NH,Nov 2022,13
NH,Dec 2022,14
NH,Jan 2023,0
NH,Feb 2023,0
NH,Mar 2023,0
NH,Apr 2023,0
NH,May 2023,0
NH,Jun 2023,0
NH,Jul 2023,0
NH,Aug 2023,0
RI,Jan 2014,1
RI,Feb 2014,1
RI,Mar 2014,2
RI,Apr 2014,2
RI,May 2014,2
RI,Jun 2014,2
RI,Jul 2014,2
RI,Aug 2014,2
RI,Sep 2014,2
RI,Oct 2014,2
RI,Nov 2014,1
RI,Dec 2014,1
RI,Jan 2015,1
RI,Feb 2015,2
RI,Mar 2015,2
RI,Apr 2015,3
RI,May 2015,3
RI,Jun 2015,3
RI,Jul 2015,3
RI,Aug 2015,3
RI,Sep 2015,3
RI,Oct 2015,2
RI,Nov 2015,2
RI,Dec 2015,2
RI,Jan 2016,2
RI,Feb 2016,3
RI,Mar 2016,3
RI,Apr 2016,4
RI,May 2016,4
RI,Jun 2016,4
RI,Jul 2016,5
RI,Aug 2016,5
RI,Sep 2016,4
RI,Oct 2016,4
RI,Nov 2016,3
RI,Dec 2016,3
RI,Jan 2017,3
RI,Feb 2017,4
RI,Mar 2017,6
RI,Apr 2017,6
RI,May 2017,7
RI,Jun 2017,7
RI,Jul 2017,8
RI,Aug 2017,8
RI,Sep 2017,7
RI,Oct 2017,6
RI,Nov 2017,4
RI,Dec 2017,5
RI,Jan 2018,6
RI,Feb 2018,7
RI,Mar 2018,10
RI,Apr 2018,11
RI,May 2018,12
RI,Jun 2018,13
RI,Jul 2018,13
RI,Aug 2018,12
RI,Sep 2018,10
RI,Oct 2018,11
RI,Nov 2018,8
RI,Dec 2018,10
RI,Jan 2019,12
RI,Feb 2019,14
RI,Mar 2019,17
RI,Apr 2019,19
RI,May 2019,22
RI,Jun 2019,24
RI,Jul 2019,26
RI,Aug 2019,26
RI,Sep 2019,24
RI,Oct 2019,19
RI,Nov 2019,15
RI,Dec 2019,17
RI,Jan 2020,24
RI,Feb 2020,32
RI,Mar 2020,43
RI,Apr 2020,44
RI,May 2020,54
RI,Jun 2020,53
RI,Jul 2020,55
RI,Aug 2020,51
RI,Sep 2020,47
RI,Oct 2020,36
RI,Nov 2020,29
RI,Dec 2020,26
RI,Jan 2021,34
RI,Feb 2021,33
RI,Mar 2021,62
RI,Apr 2021,64
RI,May 2021,73
RI,Jun 2021,77
RI,Jul 2021,73
RI,Aug 2021,70
RI,Sep 2021,62
RI,Oct 2021,50
RI,Nov 2021,39
RI,Dec 2021,34
RI,Jan 2022,37
RI,Feb 2022,47
RI,Mar 2022,76
RI,Apr 2022,88
RI,May 2022,97
RI,Jun 2022,98
RI,Jul 2022,105
RI,Aug 2022,97
RI,Sep 2022,82
RI,Oct 2022,66
RI,Nov 2022,51
RI,Dec 2022,44
RI,Jan 2023,52
RI,Feb 2023,62
RI,Mar 2023,84
RI,Apr 2023,92
RI,May 2023,107
RI,Jun 2023,104
RI,Jul 2023,111
RI,Aug 2023,105
VT,Jan 2014,3
VT,Feb 2014,3
VT,Mar 2014,4
VT,Apr 2014,5
VT,May 2014,5
VT,Jun 2014,6
VT,Jul 2014,6
VT,Aug 2014,6
VT,Sep 2014,6
VT,Oct 2014,5
VT,Nov 2014,4
VT,Dec 2014,4
VT,Jan 2015,5
VT,Feb 2015,5
VT,Mar 2015,8
VT,Apr 2015,10
VT,May 2015,10
VT,Jun 2015,11
VT,Jul 2015,11
VT,Aug 2015,12
VT,Sep 2015,10
VT,Oct 2015,8
VT,Nov 2015,6
VT,Dec 2015,6
VT,Jan 2016,6
VT,Feb 2016,9
VT,Mar 2016,10
VT,Apr 2016,12
VT,May 2016,14
VT,Jun 2016,14
VT,Jul 2016,15
VT,Aug 2016,15
VT,Sep 2016,13
VT,Oct 2016,11
VT,Nov 2016,8
VT,Dec 2016,8
VT,Jan 2017,10
VT,Feb 2017,13
VT,Mar 2017,18
VT,Apr 2017,21
VT,May 2017,21
VT,Jun 2017,24
VT,Jul 2017,24
VT,Aug 2017,24
VT,Sep 2017,20
VT,Oct 2017,16
VT,Nov 2017,10
VT,Dec 2017,9
VT,Jan 2018,11
VT,Feb 2018,14
VT,Mar 2018,21
VT,Apr 2018,24
VT,May 2018,28
VT,Jun 2018,28
VT,Jul 2018,27
VT,Aug 2018,24
VT,Sep 2018,19
VT,Oct 2018,16
VT,Nov 2018,11
VT,Dec 2018,13
VT,Jan 2019,16
VT,Feb 2019,18
VT,Mar 2019,26
VT,Apr 2019,29
VT,May 2019,31
VT,Jun 2019,32
VT,Jul 2019,36
VT,Aug 2019,32
VT,Sep 2019,30
VT,Oct 2019,21
VT,Nov 2019,16
VT,Dec 2019,13
VT,Jan 2020,13
VT,Feb 2020,17
VT,Mar 2020,31
VT,Apr 2020,37
VT,May 2020,46
VT,Jun 2020,43
VT,Jul 2020,45
VT,Aug 2020,41
VT,Sep 2020,34
VT,Oct 2020,24
VT,Nov 2020,15
VT,Dec 2020,10
VT,Jan 2021,12
VT,Feb 2021,15
VT,Mar 2021,35
VT,Apr 2021,37
VT,May 2021,44
VT,Jun 2021,45
VT,Jul 2021,40
VT,Aug 2021,42
VT,Sep 2021,35
VT,Oct 2021,24
VT,Nov 2021,18
VT,Dec 2021,13
VT,Jan 2022,14
VT,Feb 2022,20
VT,Mar 2022,32
VT,Apr 2022,43
VT,May 2022,52
VT,Jun 2022,49
VT,Jul 2022,51
VT,Aug 2022,49
VT,Sep 2022,37
VT,Oct 2022,32
VT,Nov 2022,20
VT,Dec 2022,14
VT,Jan 2023,19
VT,Feb 2023,24
VT,Mar 2023,34
VT,Apr 2023,43
VT,May 2023,52
VT,Jun 2023,47
VT,Jul 2023,50
VT,Aug 2023,47
All solar : Middle Atlantic,Jan 2014,139
All solar : Middle Atlantic,Feb 2014,167
All solar : Middle Atlantic,Mar 2014,223
All solar : Middle Atlantic,Apr 2014,248
All solar : Middle Atlantic,May 2014,265
All solar : Middle Atlantic,Jun 2014,272
All solar : Middle Atlantic,Jul 2014,287
All solar : Middle Atlantic,Aug 2014,273
All solar : Middle Atlantic,Sep 2014,239
All solar : Middle Atlantic,Oct 2014,199
All solar : Middle Atlantic,Nov 2014,160
All solar : Middle Atlantic,Dec 2014,149
All solar : Middle Atlantic,Jan 2015,165
All solar : Middle Atlantic,Feb 2015,188
All solar : Middle Atlantic,Mar 2015,250
All solar : Middle Atlantic,Apr 2015,291
All solar : Middle Atlantic,May 2015,328
All solar : Middle Atlantic,Jun 2015,311
All solar : Middle Atlantic,Jul 2015,336
All solar : Middle Atlantic,Aug 2015,333
All solar : Middle Atlantic,Sep 2015,288
All solar : Middle Atlantic,Oct 2015,246
All solar : Middle Atlantic,Nov 2015,183
All solar : Middle Atlantic,Dec 2015,159
All solar : Middle Atlantic,Jan 2016,196
All solar : Middle Atlantic,Feb 2016,212
All solar : Middle Atlantic,Mar 2016,308
All solar : Middle Atlantic,Apr 2016,341
All solar : Middle Atlantic,May 2016,349
